
# ============================================================================
# DeCS Finder Servlet
# ============================================================================

Main Content|Main content|Contenido principal|Conteúdo principal|Contenu principal
Menu|Menu|Menú|Menu|Menu
Search|Search|Búsqueda|Pesquisa|Recherche
Send text|Send text|Enviar texto|Enviar texto|Envoyer un texte
Footer|Footer|Pie de página|Rodapé|Bas de page
High Contrast|High contrast|Alto contraste|Alto contraste|Contraste élevé
Accessibility|Accessibility|Accesibilidad|Acessibilidade|Accessibilité
Disclaimer|Warning: This service uses a computer program to identify and suggest DeCS/MeSH terms based on the words entered in the text. The identified/suggested terms do not reflect automatic indexing and should not be used indiscriminately, as they do not replace the reading and analysis process of a professional indexer.|Aviso: Este servicio utiliza un programa de computadora para identificar y sugerir términos DeCS/MeSH a partir de las palabras ingresadas en el texto. Los términos identificados/sugeridos no reflejan una indexación automática y no deben ser utilizados indiscriminadamente, ya que no sustituyen el proceso de lectura y análisis del profesional indexador.|Aviso: Este serviço utiliza um programa de computador para identificar e sugerir termos DeCS/MeSH a partir de palavras do texto entrado. Os termos identificados/sugeridos não refletem uma indexação automática e não devem ser utilizados indiscriminadamente, pois não substituem o processo de leitura e análise do profissional indexador.|Avertissement : Ce service utilise un programme informatique pour identifier et suggérer des termes DeCS/MeSH à partir des mots saisis dans le texte. Les termes identifiés/suggérés ne reflètent pas une indexation automatique et ne doivent pas être utilisés de manière indiscriminée, car ils ne remplacent pas le processus de lecture et d'analyse par un professionnel de l'indexation.
Language of your text|Language of your text|Idioma de su texto|Idioma do seu texto|Langue de votre texte
Language of the terms|Language of the terms|Idioma de los término|Idioma dos termos|Langue des termes
Types of terms|Types of terms|Tipos de términos|Tipos de termos|Types de termes
I don't know|I don't know, detect automatically|No lo sé, detectar automáticamente|Eu não sei, detectar automaticamente|Je ne sais pas, détecter automatiquement
English|English|Inglés|Inglês|Anglais
Spanish|Spanish|Español|Espanhol|Espagnol
Portuguese|Portuguese|Portugués|Português|Portugais
French|French|Francés|Francês|Français
The same found in the text|The same found in the text|Lo mismo encontrado en el texto|O mesmo localizado no texto|Le même trouvé dans le texte
Descriptors|Descriptors|Descriptores|Descritores|Descripteurs
Qualifiers|Qualifiers|Calificadores|Qualificadores|Qualificatifs
Entry terms|Entry terms|Términos alternativos|Termos alternativos|Termes alternatifs
Publication types|Publication types|Tipos de publicación|Tipos de publicação|Types de publication
Check tags|Check tags|Precodificados|Pré-codificados|Précodifié
Geographics|Geographics|Denominaciones geográficas|Denominações geográficas|Lieux géographiques
Your text|Your text|Tu texto|Seu texto|Ton texte
Paste your text below|Paste your text below|Pega tu texto a continuación|Cole abaixo o seu texto|Collez votre texte ci-dessous
Extracted descriptors|Extracted terms|Términos extraídos|Termos extraídos|Termes extraits
Terms suggested by AI|Terms suggested by AI|Términos sugeridos por IA|Termos sugeridos por IA|Termes suggérés par IA
Import file|Import file|Importar archivo|Importar arquivo|Importer le fichier
Search|Search|Buscar|Procurar|Chercher
Clear|Clear|Limpiar|Limpar|Nettoyer
Translate|Translate|Traducir|Traduzir|Traduire
SR|SS|SR|SR|SR
SuperAbstract|Super summaries|Súper resúmenes|Super resumos|Super résumés
Numerical order|Numerical order|Orden numérica|Ordem numérica|Ordre numérique
Alphabetical order|Alphabetical order|Orden alfabética|Ordem alfabética|Ordre alphabétique
Export to file|Export to file|Exportar a archivo|Exportar para arquivo|Exporter vers un fichier
Send your comments|Send your comments|Envíe sus comentarios|Envie seus comentários|Envoyez vos commentaires
SS Generation|Super summaries are only available for texts between 300 and 2300 characters.|Los superresúmenes están disponibles solo para textos entre 300 y 2300 caracteres.|O super resumos está disponível apenas para textos entre 300 e 2300 caracteres.|Les super résumés sont disponibles uniquement pour les textes entre 300 et 2300 caractères.
Warning|Warning|Advertencia|Aviso|Avertissement
Notice|Notice: This service uses Annif, an artificial intelligence software, to assist in identifying DeCS/MeSH descriptors from a text. The suggested terms must be reviewed by a professional and do not replace human reading and analysis in the indexing process.|Aviso: Este servicio utiliza Annif, un software de inteligencia artificial, para apoyar la identificación de descriptores DeCS/MeSH a partir de un texto. Los términos sugeridos deben ser revisados por un profesional y no sustituyen la lectura y el análisis humano en el proceso de indexación.|Aviso: Este serviço utiliza Annif, um software de inteligência artificial, para apoiar a identificação de descritores DeCS/MeSH a partir de um texto. Os termos sugeridos devem ser revisados por um profissional, não substituindo a leitura e análise humana no processo de indexação.|Avertissement : Ce service utilise Annif, un logiciel d'intelligence artificielle, pour soutenir l'identification des descripteurs DeCS/MeSH à partir d'un texte. Les termes suggérés doivent être révisés par un professionnel et ne remplacent pas la lecture et l'analyse humaines dans le processus d'indexation.
Terms and conditions of use|Terms and Conditions of Use|Términos y Condiciones de Uso|Termos e Condições de Uso|Termes et Conditions d'utilisation
Privacy policy|Privacy Policy|Política de Privacidad|Política de Privacidade|Politique de Confidentialité
All rights are reserved|All rights are reserved|Todos los derechos reservados|Todos os direitos reservados|Tous droits réservés
